,0
2023-01-01,0.24835707650561634
2023-01-02,0.10364831711378272
2023-01-03,0.668423108753692
2023-01-04,1.2759340644420165
2023-01-05,0.5642608839243581
2023-01-06,0.7273200760115421
2023-01-07,1.7922569874742604
2023-01-08,1.5389493282963458
2023-01-09,1.0665392059809577
2023-01-10,1.7112483079831546
2023-01-11,1.338828967220656
2023-01-12,1.4594008739938518
2023-01-13,1.925469063238124
2023-01-14,0.9499592474894123
2023-01-15,1.1355991515551414
2023-01-16,1.7972445858615276
2023-01-17,1.6407682880152206
2023-01-18,2.3612336895038886
2023-01-19,1.7948942153329979
2023-01-20,1.5752356029690517
2023-01-21,3.0342696159375317
2023-01-22,2.19616040887161
2023-01-23,2.3380080704772537
2023-01-24,1.5747811663169526
2023-01-25,1.9857913699645584
2023-01-26,2.2724632316418347
2023-01-27,1.5890651696702411
2023-01-28,2.2889322525968305
2023-01-29,1.7267356362075725
2023-01-30,1.7971851824183571
2023-01-31,1.5487782924045779
2023-02-01,2.673668221525769
2023-02-02,1.6307057527597175
2023-02-03,0.991331203992633
2023-02-04,1.8078226511331046
2023-02-05,0.6569869368023564
2023-02-06,1.2380922646109138
2023-02-07,0.016397036479112947
2023-02-08,0.1919803360087281
2023-02-09,0.8125815790523713
2023-02-10,0.9406758813473147
2023-02-11,0.5146149772666018
2023-02-12,0.22977291700340918
2023-02-13,-0.0021365665051104876
2023-02-14,-0.7269148652895644
2023-02-15,-0.47959125986304146
2023-02-16,-0.4770339656684829
2023-02-17,0.16065601522871975
2023-02-18,-0.31058297912273747
2023-02-19,-1.4708888965655462
2023-02-20,-0.5260331287109298
2023-02-21,-0.9703435815333089
2023-02-22,-1.1963591524215544
2023-02-23,-0.6219314315676412
2023-02-24,-0.47138795190673355
2023-02-25,-0.5691504701035545
2023-02-26,-1.4906945955155402
2023-02-27,-1.2500599070469616
2023-02-28,-0.9420168398873199
2023-03-01,-0.6197279566986733
2023-03-02,-1.3345037732442744
2023-03-03,-1.1627109304234737
2023-03-04,-1.5856243946415831
2023-03-05,-1.5808855405737858
2023-03-06,-0.51480995793476
2023-03-07,-0.16949922450202437
2023-03-08,-0.7987899441412284
2023-03-09,-0.16523777227246095
2023-03-10,-0.3799618255010366
2023-03-11,-0.7672392341360024
2023-03-12,-0.13863410055461392
2023-03-13,0.583594095345237
2023-03-14,-0.06160924890041992
2023-03-15,0.8873850815184502
2023-03-16,-1.0498507980180554
2023-03-17,0.8312594132524127
2023-03-18,0.6285417189011374
2023-03-19,0.6037163122872639
2023-03-20,0.9698403751172409
2023-03-21,0.10248433662578371
2023-03-22,1.159331306364636
2023-03-23,1.6202288112166152
2023-03-24,2.351751259872807
2023-03-25,1.5224554490675701
2023-03-26,1.5428274636530894
2023-03-27,1.8574401806878806
2023-03-28,2.7221146731970167
2023-03-29,2.578856367780782
2023-03-30,2.2927995457619854
2023-03-31,2.949845956517464
2023-04-01,2.8688672270061644
2023-04-02,3.4226530547866383
2023-04-03,2.69555104669961
2023-04-04,2.9806582624292925
2023-04-05,3.0354958524605626
2023-04-06,2.575553617355692
2023-04-07,3.5194550456257367
2023-04-08,3.554023816043698
2023-04-09,3.4659410625519373
2023-04-10,3.373611283672767
2023-04-11,2.798294856219555
2023-04-12,3.298287803501293
2023-04-13,3.3275158061124785
2023-04-14,3.075783910673594
2023-04-15,3.362346627548545
2023-04-16,3.599404503162553
2023-04-17,4.283562185830927
2023-04-18,3.359997153320537
2023-04-19,3.3233871619167514
2023-04-20,3.069537655253079
2023-04-21,2.0504095468841284
2023-04-22,2.891156378262604
2023-04-23,2.821480340032005
2023-04-24,3.9030698464680174
2023-04-25,2.449324149737827
2023-04-26,2.5651846196835746
2023-04-27,2.2617221105377014
2023-04-28,1.5561034096470543
2023-04-29,2.570872877441868
2023-04-30,2.233073465119239
2023-05-01,2.1098752197090613
2023-05-02,1.1175074654822723
2023-05-03,2.1330091027872413
2023-05-04,0.5926353669537499
2023-05-05,1.4524301753016207
2023-05-06,2.124093788037335
2023-05-07,0.40879006592047434
2023-05-08,0.5023006344963854
2023-05-09,0.7236979770681342
2023-05-10,0.3183775058139851
2023-05-11,-0.30041308241675924
2023-05-12,0.42325039309675255
2023-05-13,-0.2182565805940886
2023-05-14,0.4840615832228111
2023-05-15,-0.26713035087921283
2023-05-16,0.9242460921708802
2023-05-17,-0.27390636213875513
2023-05-18,-0.06283439940974817
2023-05-19,0.497681186693772
2023-05-20,-0.5193940386692603
2023-05-21,0.22733497468040237
2023-05-22,0.7971791029591472
2023-05-23,-0.6177883012260887
2023-05-24,0.3327888843066551
2023-05-25,0.436859410176126
2023-05-26,0.7758830192163573
2023-05-27,-0.14423488117586047
2023-05-28,-0.08596565479061224
2023-05-29,0.9454798992722431
2023-05-30,0.9528795347660542
2023-05-31,1.0584906716153908
2023-06-01,1.2435957999369984
2023-06-02,0.8749971141943387
2023-06-03,1.482477595025078
2023-06-04,1.6700831613856624
2023-06-05,1.3285372550518209
2023-06-06,2.784820124801611
2023-06-07,2.2581818603619657
2023-06-08,1.5970981835476779
2023-06-09,2.6936892449127576
2023-06-10,2.0509307290192287
2023-06-11,3.1038870191130883
2023-06-12,3.4599519984754687
2023-06-13,2.6378921722542863
2023-06-14,3.6938204445004814
2023-06-15,3.577815030409055
2023-06-16,3.936241874095971
2023-06-17,4.621026735852642
2023-06-18,3.6901617044356945
2023-06-19,3.568240903275205
2023-06-20,3.6239029832057534
2023-06-21,3.7749287331566164
2023-06-22,4.248462036958149
2023-06-23,4.551218347799764
2023-06-24,4.601578492230807
2023-06-25,4.947956266292899
2023-06-26,4.6001888686792185
2023-06-27,5.367694423797377
2023-06-28,4.543554313350172
2023-06-29,6.05851473939468
2023-06-30,5.021356805911161
2023-07-01,4.277613907046266
2023-07-02,4.156100960105343
2023-07-03,4.9060079955025175
2023-07-04,4.514395651286425
2023-07-05,4.932947762093884
2023-07-06,4.751258383110107
2023-07-07,4.406264425900541
2023-07-08,3.937210600287491
2023-07-09,3.5116066635955123
2023-07-10,3.9453540262370614
2023-07-11,4.4882697659594175
2023-07-12,4.051223559403083
2023-07-13,3.198876667751505
2023-07-14,3.780225248567499
2023-07-15,3.7533932460750683
2023-07-16,2.9820381568309036
2023-07-17,3.361139885138421
2023-07-18,3.171734073153528
2023-07-19,2.4285148510846897
